lkupClientId,dimCustomerMasterId,customerNumber,year,productGrouping,totalSpent,recentDate,attendancePercent,renewedBeforeDays,isBuyer,source_tenure,tenure,distToVenue,totalGames,recency,missed_games_1,missed_games_2,missed_games_over_2,click_link,fill_out_form,open_email,send_email,unsubscribe_email,openToSendRatio,clickToSendRatio,clickToOpenRatio,posting_records,resale_records,resale_atp,forward_records,cancel_records,email,inbound_email,inbound_phonecall,inperson_contact,internal_note,left_message,outbound_email,outbound_phonecall,phonecall,text,unknown,gender,childrenPresentInHH,maritalStatus,lengthOfResidenceInYrs,annualHHIncome,education,urbanicity,credits_after_refund,is_Lockdown,NumberofGamesPerSeason,CNTPostponedGames,isNextYear_Buyer,Label,Score_0,Score_1
5,23456,190055774,2021,Full Season,1470.5999999999985,2022-01-05,0.14285714285714285,269,TRUE,4745,1891,0,4,4,2,0,3,48,0,196,406,0,0.482758620689,0.118226600985,0.244897959183,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0.0,1,185,0,0,1,0.117,0.883
5,23983,205706978,2021,Full Season,3268.0,2022-01-10,0.5267857142857143,269,TRUE,1460,1417,0,19,1,1,3,2,8,0,60,396,0,0.151515151515,0.020202020202,0.133333333333,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0.0,1,185,0,0,1,0.1806,0.8194
5,26037,206056153,2021,Quarter Season,1980.0,2022-01-26,0.7428571428571429,57,TRUE,1460,1423,0,6,1,0,0,1,4,0,34,104,0,0.326923076923,0.038461538461,0.117647058823,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,1,1,0,0,0,0,0.0,1,185,0,0,0,0.9522,0.0478
5,30016,107418,2021,Full Season,41452.0,2022-01-26,0.7321428571428571,269,TRUE,11315,1889,0,21,0,1,2,1,0,0,126,346,0,0.36416184971,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0.0,1,185,0,0,1,0.1012,0.8988
5,32531,374314,2021,Full Season,18094.399999999994,2022-01-10,0.6428571428571429,270,TRUE,11680,1889,0,19,1,6,1,1,72,4,246,482,0,0.510373443983,0.14937759336,0.292682926829,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,1,1,0,0,0,0,0.0,1,185,0,1,1,0.0366,0.9634
5,33991,208579666,2021,Quarter Season,840.0,2021-12-06,0.5,41,TRUE,1095,195,0,3,2,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,1,1,0,0,0,0,0.0,1,185,0,0,0,0.9918,0.0082
5,35894,114260,2021,Full Season,22772.80000000004,2022-01-26,0.3482142857142857,270,TRUE,4745,1858,0,11,0,2,1,3,4,0,290,390,0,0.743589743589,0.010256410256,0.013793103448,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,1,1,0,0,0,0,0.0,1,185,0,0,0,0.6068,0.3932
5,39657,210583,2021,Full Season,1920.0,1970-01-01,0.0,270,TRUE,9490,1726,0,0,0,0,0,1,0,0,90,244,0,0.368852459016,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,1,1,0,0,0,0,0.0,1,185,0,1,0,0.9244,0.0756
5,43697,202188464,2021,Mini Plan,168.0,2021-11-30,1.0,15,TRUE,2555,1449,0,3,0,0,0,0,54,4,80,106,0,0.754716981132,0.509433962264,0.675,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0.0,1,185,0,0,0,0.9635,0.0365
5,44380,204665091,2021,Half Season,7980.0,1970-01-01,0.0,257,TRUE,1825,1661,0,0,0,0,0,1,16,0,16,132,0,0.121212121212,0.121212121212,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0.0,1,185,0,0,1,0.0548,0.9452
