,tenure,events_purchased,frequency_opponent,EventDay_Avg,EventTime_Avg,distanceToVenue,Score1_Avg
count,160377.0,160377.0,160377.0,160377.0,160377.0,160377.0,160377.0
mean,1667.4922966451265,2.2143636556364066,0.1784778731864873,0.8741469928061002,0.990485309744007,229.72634885300587,0.9795620362982579
std,231.5236696126203,2.2456391952133137,0.2591483236541449,0.1782251888732433,0.044793657924237645,425.87161300973247,0.020929043806414003
min,341.125,1.0,0.0,0.1875,0.5833333333333334,0.0,0.8557615384615385
25%,1492.2,1.0,0.0,0.75,1.0,6.74,0.9737
50%,1767.0,1.0,0.0,1.0,1.0,37.99,0.98924
75%,1839.1333333333332,2.0,0.25,1.0,1.0,209.56,0.9926
max,2007.333333333333,14.0,1.0,1.0,1.0,2220.04,1.0
