,tenure,events_purchased,frequency_opponent,EventDay_Avg,EventTime_Avg,distanceToVenue,Score1_Avg
count,44235.0,44235.0,44235.0,44235.0,44235.0,44235.0,44235.0
mean,1227.0358296103952,1.2798462755736408,0.2820689762619504,0.606395585688511,0.9395958986192634,3304.631599638297,0.943525542904108
std,557.1039616925059,0.826588044184446,0.36149936271878275,0.35304739659028017,0.13435348154234317,728.3465802478668,0.06916091058605615
min,2.0,1.0,0.0,0.0,0.0,1394.62,0.6002
25%,1036.2,1.0,0.0,0.3333333333333333,1.0,2625.92,0.93745
50%,1392.2,1.0,0.1111111111111111,0.6153846153846154,1.0,3468.29,0.970357142857143
75%,1745.0,1.0,0.5714285714285714,1.0,1.0,3934.16,0.9861845238095238
max,2007.333333333333,18.0,1.0,1.0,1.0,4673.62,1.0
