,tenure,events_purchased,frequency_opponent,EventDay_Avg,EventTime_Avg,distanceToVenue,Score1_Avg
count,86469.0,86469.0,86469.0,86469.0,86469.0,86469.0,86469.0
mean,1550.7860477157951,1.3557922492453942,0.7766251236405196,0.2559059757069963,0.6268235302573256,262.7061135204362,0.8999357610936949
std,275.00237623406235,1.0266099841395884,0.21421098346974443,0.22798644348936395,0.23193590135143868,538.3921944381175,0.07674852158305388
min,291.1666666666667,1.0,0.0,0.0,0.0,0.0,0.6004
25%,1388.0,1.0,0.6363636363636364,0.0,0.5,7.84,0.8538142857142857
50%,1525.428571428571,1.0,0.7777777777777778,0.2727272727272727,0.625,33.62,0.8989545454545455
75%,1801.0,1.0,1.0,0.38461538461538464,0.6666666666666666,180.61,0.9770636363636364
max,2007.333333333333,18.0,1.0,1.0,1.0,4259.02,0.99935
