dimCustomerMasterId,distance,seasonYear,events_prior,attended_prior,events_last,attended_last,tenure,atp_last,product_current,product_last,Label,Score
110770,52.45,2022,13,13,0,0,1,0.0,None,None,None,1.0
110770,52.45,2023,13,13,0,0,2,0.0,None,None,None,1.0
110774,38.79,2022,17,4,17,4,0,125.43,Individual,Full Season,Individual,0.94
110774,38.79,2023,18,5,1,1,1,0.0,None,Individual,None,1.0
110777,48.37,2022,1,1,1,1,0,0.0,None,None,None,1.0
110777,48.37,2023,1,1,0,0,1,0.0,None,None,None,1.0
110781,26.68,2022,17,14,17,14,0,125.68,Full Season,Full Season,Full Season,0.7
110781,26.68,2023,35,30,18,16,1,170.24,None,Full Season,None,1.0
110794,46.24,2023,1,1,1,1,0,64.0,None,Individual,None,1.0
110796,24.84,2022,13,13,0,0,1,0.0,None,None,None,1.0
110796,24.84,2023,13,13,0,0,2,0.0,None,None,None,1.0
110797,196.93,2022,2,2,1,1,1,35.0,None,Half Season,None,0.9893
110797,196.93,2023,2,2,0,0,2,0.0,None,None,None,1.0
110802,8.04,2022,30,30,17,17,1,45.29,Individual,Full Season,Individual,0.78
110802,8.04,2023,31,31,1,1,2,0.0,None,Individual,None,1.0
110807,17.84,2022,1,0,1,0,0,210.0,None,Individual,None,1.0
110807,17.84,2023,1,0,0,0,1,0.0,None,None,None,1.0
110814,43.06,2022,1,0,1,0,0,40.0,None,Individual,None,1.0
110814,43.06,2023,1,0,0,0,1,0.0,None,None,None,1.0
110815,24.84,2022,1,0,1,0,0,45.0,None,Individual,None,1.0
110815,24.84,2023,1,0,0,0,1,0.0,None,None,None,1.0
110828,26.68,2023,1,0,1,0,0,37.0,None,Individual,None,1.0
110829,196.93,2023,1,0,1,0,0,80.0,None,Individual,None,1.0
110844,196.93,2022,1,0,1,0,0,35.0,None,Individual,None,0.9859
110844,196.93,2023,1,0,0,0,1,0.0,None,None,None,1.0
110849,196.93,2022,4,1,4,1,0,36.5,None,Individual,None,0.96
110849,196.93,2023,4,1,0,0,1,0.0,None,None,None,1.0
110850,196.93,2022,1,0,1,0,0,33.0,None,Individual,None,0.9851
110850,196.93,2023,1,0,0,0,1,0.0,None,None,None,1.0
110856,196.93,2022,1,1,1,1,0,58.0,None,Individual,None,1.0
110856,196.93,2023,1,1,0,0,1,0.0,None,None,None,1.0
110864,196.93,2022,1,0,1,0,0,53.0,Individual,Individual,None,0.9669
110864,196.93,2023,2,0,1,0,1,42.0,None,Individual,None,1.0
110883,196.93,2023,1,0,1,0,0,68.0,None,Individual,None,1.0
110886,82.18,2023,1,1,1,1,0,25.0,None,Individual,None,1.0
110888,196.93,2023,1,0,1,0,0,60.0,None,Individual,None,0.9566
110891,196.93,2022,1,0,1,0,0,28.0,None,Individual,None,1.0
110891,196.93,2023,1,0,0,0,1,0.0,None,None,None,1.0
110894,196.93,2022,1,0,1,0,0,33.0,None,Individual,None,0.9851
110894,196.93,2023,1,0,0,0,1,0.0,None,None,None,1.0
110896,196.93,2023,1,0,1,0,0,48.0,None,Individual,None,1.0
110903,196.93,2022,1,0,1,0,0,41.0,Individual,Individual,None,0.9651
110903,196.93,2023,2,1,1,1,1,42.0,None,Individual,None,1.0
110904,196.93,2022,1,0,1,0,0,33.0,None,Individual,None,0.9851
110904,196.93,2023,1,0,0,0,1,0.0,None,None,None,1.0
110921,10.7,2022,1,0,1,0,0,52.0,None,Individual,None,1.0
110921,10.7,2023,1,0,0,0,1,0.0,None,None,None,1.0
110932,1751.84,2022,1,1,1,1,0,40.0,None,Individual,None,1.0
110932,1751.84,2023,1,1,0,0,1,0.0,None,None,None,1.0
110959,196.93,2023,1,1,1,1,0,72.0,None,Individual,None,1.0
110968,1756.26,2022,29,29,17,17,1,37.06,Full Season,Full Season,Full Season,0.6693
110968,1756.26,2023,47,47,18,18,2,53.5,None,Full Season,None,1.0
110973,1754.13,2023,1,0,1,0,0,23.0,None,Individual,None,1.0
110986,76.98,2023,1,0,1,0,0,45.0,None,Individual,None,1.0
110992,18.51,2022,30,21,17,8,1,50.33,Individual,Full Season,Individual,0.97
110992,18.51,2023,31,21,1,0,2,0.0,None,Individual,None,1.0
110999,196.93,2022,1,1,1,1,0,38.0,None,Individual,None,1.0
110999,196.93,2023,1,1,0,0,1,0.0,None,None,None,1.0
111002,38.79,2023,1,0,1,0,0,61.0,None,Individual,None,1.0
111008,196.93,2022,1,0,1,0,0,77.0,None,Individual,None,1.0
111008,196.93,2023,1,0,0,0,1,0.0,None,None,None,1.0
111011,46.25,2022,1,0,1,0,0,35.0,None,Individual,None,1.0
111011,46.25,2023,1,0,0,0,1,0.0,None,None,None,1.0
111017,65.22,2023,1,0,1,0,0,68.0,None,Individual,None,0.9872
111020,56.08,2022,1,0,1,0,0,40.0,None,Individual,None,1.0
111020,56.08,2023,1,0,0,0,1,0.0,None,None,None,1.0
111021,10.7,2023,10,10,10,10,0,68.74,None,Full Season,None,0.98
111024,125.04,2022,13,13,0,0,1,0.0,None,None,None,1.0
111024,125.04,2023,13,13,0,0,2,0.0,None,None,None,1.0
111026,196.93,2022,1,0,1,0,0,33.0,None,Individual,None,0.9851
111026,196.93,2023,1,0,0,0,1,0.0,None,None,None,1.0
111030,196.93,2022,8,8,8,8,0,31.88,Individual,Full Season,Individual,0.65
111030,196.93,2023,9,9,1,1,1,0.0,None,Individual,None,0.98
111031,196.93,2023,1,0,1,0,0,37.0,None,Individual,None,1.0
111032,669.09,2022,1,0,1,0,0,35.0,None,Individual,None,1.0
111032,669.09,2023,1,0,0,0,1,0.0,None,None,None,1.0
111035,3651.46,2022,1,0,1,0,0,37.0,None,Individual,None,1.0
111035,3651.46,2023,1,0,0,0,1,0.0,None,None,None,1.0
111039,22.4,2022,30,19,17,6,1,97.22,Individual,Full Season,Individual,0.83
111039,22.4,2023,31,19,1,0,2,0.0,None,Individual,None,1.0
111040,19.18,2022,1,0,1,0,0,30.0,None,Individual,None,0.8204
