dimCustomerMasterId,year,productGrouping,totalSpent,recentDate,attendancePercent,renewedBeforeDays,source_tenure,tenure,distToVenue,recency,missed_games_1,missed_games_2,missed_games_over_2,isNextYear_Buyer,Label,Score_0,Score_1
120834,2022,Full Season,1575.9,2022-06-25,0.75,162,730,968,1085.02,0,1,1,0,0,0,0.6378,0.3622
120957,2022,Full Season,2312.0,2022-05-22,0.69,70,365,295,11.98,1,2,0,0,0,0,0.8182,0.1818
121099,2022,Full Season,1156.0,2022-02-26,0.06,62,365,287,973.93,7,0,0,1,0,0,0.66,0.34
121472,2022,Full Season,476.0,2022-05-22,0.75,7,0,232,23.14,1,2,0,0,0,0,0.9341,0.0659
122249,2022,Full Season,1632.0,1970-01-01,0.0,40,0,265,1754.89,0,0,0,1,0,0,0.7656,0.2344
122334,2022,Full Season,476.0,2022-06-25,0.88,34,0,259,337.96,1,2,0,0,0,0,0.8724,0.1276
122608,2022,Half Season,724.0,2022-06-25,1.33,2,0,201,1694.86,0,0,0,0,0,0,0.9574,0.0426
122864,2022,Full Season,816.0,2022-04-24,0.5,19,0,244,10.5,3,1,0,1,0,0,0.7947,0.2053
123236,2022,Full Season,803.18,2022-02-26,0.33,4,0,18,1098.54,1,1,0,0,0,0,0.8221,0.1779
123298,2022,Full Season,476.0,1970-01-01,0.0,1,0,226,42.31,0,0,0,1,0,0,0.8468,0.1532
123392,2022,Full Season,2710.8,2022-06-25,0.57,6,0,225,120.47,0,1,0,1,0,0,0.7677,0.2323
123482,2022,Full Season,128.18,2022-03-12,1.0,-5,0,-5,1558.35,0,0,0,0,0,0,0.8936,0.1064
123616,2022,Full Season,1009.18,2022-05-22,0.33,18,0,208,0.0,1,2,1,0,0,0,0.8902,0.1098
124317,2022,Flex Plan,1364.0,2022-05-14,1.0,46,1095,1112,0.0,0,0,0,0,0,0,0.852,0.148
124482,2022,Full Season,1575.9,2022-05-14,0.13,162,1095,1052,6.89,2,0,1,1,0,0,0.6957,0.3043
124538,2022,Full Season,5253.0,2022-05-28,0.69,159,1095,1102,8.55,0,1,0,0,0,0,0.7373,0.2627
124647,2022,Full Season,1785.92,2022-05-14,0.17,161,1095,1054,50.84,0,0,0,1,0,0,0.7902,0.2098
124671,2022,Full Season,1926.1,1970-01-01,0.0,162,1095,1025,827.9,0,0,0,1,0,1,0.4727,0.5273
125254,2022,Full Season,164.94,1970-01-01,0.0,161,730,445,17.84,0,0,0,1,0,0,0.6685,0.3315
125261,2022,Full Season,437.75,1970-01-01,0.0,159,730,674,51.41,0,0,0,1,0,0,0.6477,0.3523
125614,2022,Full Season,2254.58,2022-06-25,0.75,159,365,585,29.7,1,1,1,0,0,0,0.613,0.387
125622,2022,Full Season,3852.2,2022-04-24,0.31,39,365,580,41.92,3,0,1,1,0,0,0.6925,0.3075
125640,2022,Full Season,1575.9,1970-01-01,0.0,162,365,570,46.25,0,0,0,1,0,0,0.5539,0.4461
125716,2022,Full Season,5253.0,1970-01-01,0.0,159,365,520,0.0,0,0,0,1,0,1,0.367,0.633
127171,2022,Full Season,700.4,1970-01-01,0.0,162,365,507,21.19,0,0,0,1,0,0,0.5728,0.4272
127306,2022,Full Season,1575.9,2022-06-25,0.56,162,365,478,1892.08,0,2,1,0,0,0,0.7134,0.2866
127641,2022,Flex Plan,468.0,2022-06-25,0.0,15,365,33,87.69,0,0,0,0,0,0,0.8377,0.1623
128515,2022,Full Season,1400.8,2022-06-25,0.38,162,365,503,1.84,6,0,0,1,0,0,0.7091,0.2909
128538,2022,Full Season,4552.6,1970-01-01,0.0,162,365,501,13.37,0,0,0,1,0,1,0.3231,0.6769
130530,2022,Full Season,994.56,1970-01-01,0.0,176,365,278,34.74,0,0,0,1,0,1,0.3871,0.6129
130989,2022,Full Season,1632.0,2022-06-25,0.88,86,365,354,280.45,0,2,0,0,0,0,0.7064,0.2936
131133,2022,Full Season,5314.0,2022-06-25,0.75,19,365,418,58.29,1,1,1,0,0,0,0.716,0.284
131309,2022,Full Season,476.0,2022-06-25,0.88,58,365,414,53.53,0,2,0,0,0,0,0.7742,0.2258
131588,2022,Full Season,4420.0,2022-03-12,0.13,15,365,395,54.54,6,1,0,1,0,0,0.6812,0.3188
132140,2022,Full Season,2346.0,2022-06-25,0.75,81,365,356,47.39,1,3,0,0,0,0,0.7603,0.2397
132885,2022,Full Season,1173.0,2022-05-14,0.38,78,365,303,13.37,2,0,1,1,0,0,0.8311,0.1689
133171,2022,Full Season,1156.0,2022-05-28,0.69,73,365,298,17.51,0,0,1,0,0,0,0.7757,0.2243
138370,2022,Full Season,1339.46,2022-06-25,1.0,14,365,225,305.24,0,1,0,0,0,0,0.6852,0.3148
139971,2022,Full Season,3677.1,2022-06-25,0.88,86,1095,1067,41.92,0,1,0,0,0,1,0.441,0.559
140656,2022,Full Season,446.49,2022-05-28,0.43,4,365,479,5.68,0,1,0,1,0,0,0.948,0.052
140698,2022,Full Season,437.75,2022-06-25,0.63,159,1095,1054,42.19,0,1,0,1,0,0,0.5743,0.4257
142149,2022,Full Season,1162.0,2022-05-22,0.38,16,730,984,42.31,1,2,0,1,0,0,0.915,0.085
144502,2022,Full Season,3064.25,2022-05-14,0.5,162,1095,1063,19.18,2,2,1,0,0,0,0.7521,0.2479
147867,2022,Full Season,476.0,2022-06-25,0.63,82,365,474,6.46,2,0,2,0,0,0,0.8196,0.1804
147894,2022,Full Season,437.75,2022-06-25,0.63,159,730,704,439.61,0,0,0,1,0,0,0.7607,0.2393
150409,2022,Full Season,3414.45,2022-05-28,0.54,31,730,958,29.35,0,3,0,0,0,0,0.89,0.11
154413,2022,Full Season,4552.6,2022-06-25,0.75,162,1095,1068,28.66,1,2,0,0,0,1,0.4004,0.5996
156830,2022,Full Season,2101.2,2022-06-25,1.0,162,730,713,51.41,0,1,0,0,0,0,0.5605,0.4395
160501,2022,Full Season,2346.0,2022-03-12,0.25,66,1095,1111,25.16,6,0,0,1,0,1,0.3736,0.6264
162934,2022,Full Season,10506.0,2022-06-25,0.75,159,1095,1110,12.75,0,1,1,0,0,1,0.2408,0.7592
163696,2022,Full Season,875.5,1970-01-01,0.0,159,730,740,16.19,0,0,0,1,0,0,0.5604,0.4396
197021,2022,Full Season,10506.0,2022-06-25,0.47,159,1095,1109,4106.84,1,2,0,1,0,0,0.6886,0.3114
201888,2022,Full Season,1575.9,2022-06-25,0.88,101,1095,1076,10.85,0,2,0,0,0,1,0.4202,0.5798
202173,2022,Full Season,2276.3,2022-06-25,0.5,96,1095,1061,175.14,2,0,1,1,0,0,0.5187,0.4813
205761,2022,Full Season,850.0,2022-06-25,0.69,86,365,311,11.45,1,3,0,0,0,0,0.8182,0.1818
208184,2022,Full Season,2009.19,2022-06-25,0.29,13,0,224,26.75,6,0,0,1,0,0,0.7465,0.2535
209989,2022,Full Season,6828.9,2022-06-25,0.42,162,1095,1091,10.7,0,1,0,1,0,1,0.3007,0.6993
210192,2022,Full Season,6128.5,2022-06-25,0.63,102,1095,1111,58.32,1,4,0,0,0,0,0.511,0.489
210991,2022,Full Season,18306.92,2022-05-28,1.0,18,0,172,1.84,0,0,0,0,0,0,0.8929,0.1071
213015,2022,Full Season,5253.0,2022-06-25,1.0,159,1095,1111,29.7,0,1,0,0,0,1,0.2832,0.7168
218353,2022,Full Season,2065.4,2022-06-25,0.95,162,730,718,53.53,0,1,0,0,0,0,0.5612,0.4388
221414,2022,Full Season,4552.6,2022-06-25,0.72,162,1095,1087,49.08,1,2,0,0,0,1,0.4132,0.5868
228563,2022,Full Season,2101.2,2022-05-28,0.38,100,1095,1053,0.0,0,0,0,1,0,0,0.8302,0.1698
233570,2022,Full Season,1575.9,2022-06-25,0.88,80,1095,1053,23.21,0,2,0,0,0,0,0.5083,0.4917
235719,2022,Full Season,842.12,1970-01-01,0.0,16,0,122,11.36,0,0,0,0,0,0,0.8553,0.1447
235740,2022,Full Season,405.0,2022-04-24,1.0,0,365,59,50.84,0,0,0,0,0,0,0.8661,0.1339
238726,2022,Full Season,1912.72,2022-06-25,1.75,1,0,135,8.55,0,0,0,0,0,0,0.9003,0.0997
241919,2022,Full Season,3187.32,2022-06-25,1.5,5,0,145,56.49,0,0,0,0,0,0,0.9235,0.0765
244313,2022,Full Season,1575.9,2022-05-14,0.38,162,1095,1094,38.86,2,0,1,1,0,0,0.8415,0.1585
246898,2022,Full Season,2276.3,2022-06-25,1.0,162,1095,1087,18.51,0,1,0,0,0,1,0.2407,0.7593
