,dimCustomerMasterId,distance,seasonYear,events_prior,attended_prior,events_last,attended_last,tenure,atp_last,product_current,product_last,Label,Score
318,1334,19.18,2023,31,25,1,1,2,0.0,None,Individual,None,0.4667
320,1347,25.94,2023,1,0,0,0,1,0.0,None,None,None,0.9967
323,1348,35.95,2023,48,35,18,13,2,24.38,None,Full Season,Individual,0.61
325,1383,65.22,2023,18,14,17,14,1,30.0,None,Full Season,Individual,0.5
327,1384,45.26,2023,3,3,0,0,1,0.0,None,None,None,1.0
329,1392,10.5,2023,18,11,1,1,1,0.0,None,Individual,None,0.6067
331,1394,23.14,2023,1,0,0,0,1,0.0,None,None,None,0.98
333,1407,47.74,2023,1,0,0,0,1,0.0,None,None,None,0.9975
335,1415,12.75,2023,1,0,0,0,1,0.0,None,None,None,0.8183
338,1416,38.86,2023,24,15,1,1,2,0.0,None,Individual,None,0.6567
340,1445,1727.55,2023,1,0,0,0,1,0.0,None,None,None,1.0
341,1454,67.51,2023,1,0,1,0,0,69.0,None,Individual,None,0.98
342,1466,2.83,2023,2,1,2,1,0,45.0,None,Individual,None,0.98
345,1467,25.94,2023,31,24,1,0,2,0.0,None,Individual,None,0.5367
348,1476,20.13,2023,13,13,0,0,2,0.0,None,None,None,1.0
351,1477,13.37,2023,31,18,1,0,2,0.0,None,Individual,None,0.5467
353,1481,32.18,2023,2,0,1,0,1,42.0,None,Individual,None,0.93
356,1489,63.09,2023,31,22,1,0,2,0.0,None,Individual,None,0.5967
359,1505,56.08,2023,42,37,12,12,2,27.67,None,Full Season,Full Season,0.4983
361,1509,45.06,2023,1,1,0,0,1,0.0,None,None,None,1.0
363,1524,287.16,2023,1,0,0,0,1,0.0,None,None,None,0.9899
364,1535,23.35,2023,1,1,1,1,0,69.0,None,Individual,None,0.92
366,1559,46.07,2023,1,1,0,0,1,0.0,None,None,None,1.0
369,1573,7.19,2023,30,24,1,0,2,0.0,None,Individual,None,0.5467
371,1575,26.68,2023,2,0,0,0,1,0.0,None,None,None,0.9767
373,1591,52.45,2023,1,0,0,0,1,0.0,None,None,None,1.0
375,1599,33.3,2023,1,0,0,0,1,0.0,None,None,None,0.99
376,1600,62.69,2023,1,0,1,0,0,53.0,None,Individual,None,0.9945
377,1610,22.58,2023,1,0,1,0,0,40.0,None,Individual,None,1.0
379,1614,1.84,2023,1,1,0,0,1,0.0,None,None,None,0.8886
381,1615,76.98,2023,1,0,0,0,1,0.0,None,None,None,1.0
382,1620,6.89,2023,1,1,1,1,0,75.0,None,Individual,None,1.0
385,1621,65.22,2023,31,23,1,1,2,0.0,None,Individual,None,0.5847
387,1637,12.29,2023,2,0,0,0,1,0.0,None,None,None,0.8983
388,1644,5.68,2023,1,0,1,0,0,26.0,None,Individual,None,0.9473
390,1646,11.04,2023,1,0,0,0,1,0.0,None,None,None,0.99
392,1651,21.65,2023,1,0,0,0,1,0.0,None,None,None,0.98
395,1655,7.19,2023,31,26,1,1,2,0.0,None,Individual,None,0.4867
398,1669,63.09,2023,13,13,0,0,2,0.0,None,None,None,1.0
401,1670,10.5,2023,31,20,1,1,2,0.0,None,Individual,None,0.4667
403,1671,32.18,2023,1,0,0,0,1,0.0,None,None,None,1.0
406,1676,16.19,2023,25,17,1,0,2,0.0,None,None,Individual,0.5233
407,1690,29.59,2023,1,0,1,0,0,37.0,None,Individual,None,1.0
