,tenure,events_purchased,frequency_opponent,EventDay_Avg,EventTime_Avg,distanceToVenue,Score1_Avg
count,7615.0,7615.0,7615.0,7615.0,7615.0,7615.0,7615.0
mean,1636.3813656176785,24.767432698621143,0.5754874320616243,0.8841226773154064,0.997042562019581,63.77961785948782,0.9933971711109194
std,348.68553773786124,17.567488251330253,0.220166806345079,0.17834874012202076,0.036677318429622796,301.0816174208019,0.014768556469465951
min,47.125,13.0,0.0,0.07142857142857142,0.42857142857142855,0.0,0.8047846153846157
25%,1478.125,16.0,0.5,0.7857142857142857,1.0,6.41,0.99549375
50%,1811.125,19.0,0.625,1.0,1.0,14.34,0.9978533333333334
75%,1850.1333333333332,27.0,0.7333333333333333,1.0,1.0,34.775000000000006,0.998975
max,2007.2727272727273,295.0,1.0,1.0,1.0,4142.13,1.0
