,tenure,events_purchased,frequency_opponent,EventDay_Avg,EventTime_Avg,distanceToVenue,Score1_Avg
count,111028.0,111028.0,111028.0,111028.0,111028.0,111028.0,111028.0
mean,275.39019631913544,1.592156933386173,0.16010445489801056,0.33387128137290933,0.884819010304006,180.25404222357722,0.9785528361068463
std,224.1506295565505,1.1827905522070778,0.21569439594435538,0.2068642511314737,0.15925069526270477,408.93286053733453,0.03162089820734837
min,2.0,1.0,0.0,0.0,0.4375,0.0,0.8308692307692307
25%,65.0,1.0,0.0,0.18181818181818185,0.875,7.84,0.9792
50%,292.22222222222223,1.0,0.0,0.35714285714285715,1.0,25.04,0.9909240384615384
75%,335.1666666666667,2.0,0.25,0.5,1.0,87.61,0.9946916666666666
max,1173.0,14.0,1.0,1.0,1.0,2592.49,1.0
