,tenure,events_purchased,frequency_opponent,EventDay_Avg,EventTime_Avg,distanceToVenue,Score1_Avg
count,7577.0,7577.0,7577.0,7577.0,7577.0,7577.0,7577.0
mean,1635.3575754492044,24.044872640886894,0.57415854495833,0.8835415319726565,0.9970277299431318,63.81745017817083,0.9933651752685294
std,349.1612910060368,13.924553189746126,0.21977737786113605,0.17860607510903223,0.03676858757909176,301.27786908642736,0.014798581744828617
min,47.125,13.0,0.0,0.07142857142857142,0.42857142857142855,0.0,0.8047846153846157
25%,1478.125,16.0,0.5,0.7857142857142857,1.0,6.41,0.995475
50%,1811.125,19.0,0.625,1.0,1.0,14.34,0.99784375
75%,1849.2307692307693,27.0,0.7333333333333333,1.0,1.0,34.84,0.99895
max,2007.2727272727273,122.0,1.0,1.0,1.0,4142.13,1.0
