,id,score
0,3072170,1.0
1,3097633,1.0
2,1428543,1.0
3,3144639,1.0
4,1482483,1.0
5,3173177,1.0
6,3186763,1.0
7,1832755,1.0
8,3461611,1.0
9,1848420,1.0
10,748314,1.0
11,747016,1.0
12,752319,1.0
13,764676,1.0
14,2971104,1.0
15,2975418,1.0
16,2982641,1.0
17,2998282,1.0
18,1306432,1.0
19,3010941,1.0
20,3024182,1.0
21,3040509,1.0
22,3040238,1.0
23,1353344,1.0
24,605560,1.0
25,1749994,1.0
26,3371564,1.0
27,1754632,1.0
28,3374670,1.0
29,773942,1.0
30,1890969,1.0
31,1909401,1.0
32,810487,1.0
33,813924,1.0
34,1953556,1.0
35,1961178,1.0
36,2379800,1.0
37,2389556,1.0
38,2391385,1.0
39,2420857,1.0
40,2448601,1.0
41,2450041,1.0
42,2469342,1.0
43,2476142,1.0
44,2504326,1.0
45,2507851,1.0
46,2520816,1.0
47,2570372,1.0
48,687787,1.0
49,689579,1.0
50,3437956,1.0
51,713910,1.0
52,1046115,1.0
53,2208389,1.0
54,1072790,1.0
55,2274169,1.0
56,1116056,1.0
57,2597824,1.0
58,2662109,1.0
59,3232674,1.0
60,381776,1.0
61,2256172,1.0
62,2316603,1.0
63,2345271,1.0
64,2138097,1.0
65,398879,1.0
66,3533090,1.0
67,1990128,1.0
68,60142,1.0
69,98099,1.0
70,1363424,1.0
71,184289,1.0
72,242702,1.0
73,3153052,1.0
74,275539,1.0
75,2383018,1.0
76,2550489,1.0
77,2717292,1.0
78,2723026,1.0
79,2515186,1.0
80,2710606,1.0
81,2856883,1.0
82,2870873,1.0
83,2907317,1.0
84,8435954,1.0
85,397400,1.0
86,2275762,1.0
87,3410830,1.0
88,340034,1.0
89,341272,1.0
90,1545039,1.0
91,360730,1.0
92,1559776,1.0
93,1563287,1.0
94,394008,1.0
95,408629,1.0
96,421172,1.0
97,3278926,1.0
98,471312,1.0
99,1663296,1.0
100,3336519,1.0
101,2843435,1.0
102,3903,1.0
103,23982,1.0
104,2928252,1.0
105,1720556,1.0
106,1194633,1.0
107,18784,1.0
108,1205582,1.0
109,2935421,1.0
110,2946379,1.0
111,1228791,1.0
112,8581523,1.0
113,57033,1.0
114,2965437,1.0
115,1378377,1.0
116,1553380,1.0
117,1561218,1.0
118,1836809,1.0
119,2594085,1.0
120,2609243,1.0
121,2632263,1.0
122,2788978,1.0
123,2823431,1.0
124,3655175,1.0
125,3681201,1.0
126,1016500,1.0
127,2236900,1.0
128,1446128,1.0
129,1457456,1.0
130,263418,1.0
131,1517103,1.0
132,343336,1.0
133,2489295,1.0
134,2560146,1.0
135,2902676,1.0
136,503267,1.0
137,1674660,1.0
138,550793,1.0
139,563062,1.0
140,3353642,1.0
141,1717069,1.0
142,1729392,1.0
143,615590,1.0
144,1748553,1.0
145,1398760,1.0
146,2320686,1.0
147,2380859,1.0
148,2400625,1.0
149,2490894,1.0
150,3531556,1.0
151,851201,1.0
152,3578621,1.0
153,893904,1.0
154,913495,1.0
155,925887,1.0
156,3640028,1.0
157,2076672,1.0
158,2088490,1.0
159,949887,1.0
160,3692876,1.0
161,3436178,1.0
162,1816773,1.0
163,2847718,1.0
164,2916127,1.0
165,8502160,1.0
166,8579595,1.0
167,84283,1.0
168,3533235,1.0
169,3685122,1.0
170,1074092,1.0
171,378551,1.0
172,1584693,1.0
173,406368,1.0
174,429639,1.0
175,489624,1.0
176,3361582,1.0
177,1220014,1.0
178,3620355,1.0
179,1117573,1.0
180,2321732,1.0
181,2372848,1.0
182,1632916,1.0
183,1752168,1.0
184,389428,1.0
185,409995,1.0
186,2523194,1.0
187,2715411,1.0
188,3623377,1.0
189,3713066,1.0
190,2941769,1.0
191,40199,1.0
192,44041,1.0
193,3011335,1.0
194,3422358,1.0
195,719630,1.0
196,3463515,1.0
197,2444583,1.0
198,248376,1.0
199,3013397,1.0
200,315013,1.0
201,3215514,1.0
202,3706887,1.0
203,3045373,1.0
204,3482397,1.0
205,863882,1.0
206,934934,1.0
207,3677303,1.0
208,3017795,1.0
209,1376046,1.0
210,3074302,1.0
211,3078818,1.0
212,1940683,1.0
213,828120,1.0
214,2940378,1.0
215,508983,1.0
216,3403636,1.0
217,3517732,1.0
218,2522145,1.0
219,1569798,1.0
220,3246411,1.0
221,397428,1.0
222,413747,1.0
223,462810,1.0
224,3274615,1.0
225,986550,1.0
226,992270,1.0
227,1030802,1.0
228,2233541,1.0
229,2259230,1.0
230,3727276,1.0
231,224321,1.0
232,1659399,1.0
233,2682302,1.0
234,2558255,1.0
235,3195739,1.0
236,1972905,1.0
237,1632645,1.0
238,3732414,1.0
239,2078497,1.0
240,2928460,1.0
241,390998,1.0
242,1651157,1.0
243,2123748,1.0
244,2718432,1.0
245,2340106,1.0
246,402286,1.0
247,3697054,1.0
248,3460485,1.0
249,2521186,1.0
250,623797,1.0
251,8636794,1.0
252,2402032,1.0
253,1422454,1.0
254,1952257,1.0
255,868264,1.0
256,1126718,1.0
257,1233203,1.0
258,3306169,1.0
259,206388,1.0
260,680983,1.0
261,2327554,1.0
262,2441255,1.0
263,2556124,1.0
264,3310185,1.0
265,2577680,1.0
266,2138727,1.0
267,211562,1.0
268,357411,1.0
269,1596764,1.0
270,2067998,1.0
271,2103496,1.0
272,2820321,1.0
273,2850717,1.0
274,3596280,1.0
275,643446,1.0
276,111562,1.0
277,2083937,1.0
278,108779,1.0
279,127976,1.0
280,208399,1.0
281,1416653,1.0
282,2746943,1.0
283,1720700,1.0
284,2489985,1.0
285,689261,1.0
286,2670731,1.0
287,2854174,1.0
288,530834,1.0
289,1640404,1.0
290,2374309,1.0
291,2538643,1.0
292,2203237,1.0
293,2188519,1.0
294,1037659,1.0
295,1255423,1.0
296,1127068,1.0
297,969863,1.0
298,801365,1.0
299,923796,1.0
300,2391455,1.0
301,1461398,1.0
302,286767,1.0
303,1493914,1.0
304,3454042,1.0
305,3455545,1.0
306,2854305,1.0
307,1209752,1.0
308,1067413,1.0
309,2208280,1.0
310,1517547,1.0
311,1549463,1.0
312,3711495,1.0
313,930842,1.0
314,3480067,1.0
315,467827,1.0
316,3034871,1.0
317,2697561,1.0
318,1579674,1.0
319,439430,1.0
320,1635542,1.0
321,3333513,1.0
322,3745249,1.0
323,1942273,1.0
324,1419149,1.0
325,1719455,1.0
326,2532073,1.0
327,3748146,1.0
328,2272579,1.0
329,1967152,1.0
330,2993264,1.0
331,599811,1.0
332,1742798,1.0
333,1524828,1.0
334,1734245,1.0
335,1286512,1.0
336,2965535,1.0
337,3358208,1.0
338,3435435,1.0
339,1834457,1.0
340,306232,1.0
341,2269680,1.0
342,593589,1.0
343,3418371,1.0
344,756350,1.0
345,3149150,1.0
346,3151088,1.0
347,346084,1.0
348,2838567,1.0
349,984183,1.0
350,3219906,1.0
351,1571660,1.0
352,1257701,1.0
353,3274285,1.0
354,514628,1.0
355,411165,1.0
356,738144,1.0
357,226856,1.0
358,2976796,1.0
359,1298486,1.0
360,2358407,1.0
361,3730599,1.0
362,817035,1.0
363,2638246,1.0
364,2644322,1.0
365,1380886,1.0
366,923500,1.0
367,67430,1.0
368,1268218,1.0
369,2971712,1.0
370,2976930,1.0
371,2976772,1.0
372,1282334,1.0
373,85882,1.0
374,2986110,1.0
375,1293051,1.0
376,1296391,1.0
377,1299658,1.0
378,101620,1.0
379,3003090,1.0
380,116025,1.0
381,119479,1.0
382,3017778,1.0
383,1325361,1.0
384,1335907,1.0
385,1338703,1.0
386,1674390,1.0
387,524312,1.0
388,1681742,1.0
389,533567,1.0
390,3327393,1.0
391,538699,1.0
392,3339412,1.0
393,555717,1.0
394,561462,1.0
395,2216094,1.0
396,2285169,1.0
397,575390,1.0
398,3357199,1.0
399,584005,1.0
400,595815,1.0
401,599445,1.0
402,1729852,1.0
403,607768,1.0
404,1737178,1.0
405,1747443,1.0
406,1750456,1.0
407,1752239,1.0
408,3659229,1.0
409,3669151,1.0
410,3671647,1.0
411,2103610,1.0
412,3690530,1.0
413,3710353,1.0
414,3712927,1.0
415,980778,1.0
416,3713120,1.0
417,995484,1.0
418,1000675,1.0
419,1022038,1.0
420,2197891,1.0
421,1042493,1.0
422,3731850,1.0
423,1047135,1.0
424,3742732,1.0
425,2229689,1.0
426,2873177,1.0
427,2876310,1.0
428,2881622,1.0
429,2896849,1.0
430,2916492,1.0
431,2929295,1.0
432,2936162,1.0
433,54766,1.0
434,3286674,1.0
435,493042,1.0
436,3368696,1.0
437,1733798,1.0
438,1754368,1.0
439,3392368,1.0
440,2218786,1.0
441,3752129,1.0
442,1863931,1.0
443,1888024,1.0
444,1944316,1.0
445,2017693,1.0
446,2983711,1.0
447,3598261,1.0
448,2291217,1.0
449,1168146,1.0
450,2400685,1.0
451,2429388,1.0
452,1577063,1.0
453,3338858,1.0
454,548961,1.0
455,552464,1.0
456,570031,1.0
457,3355819,1.0
458,1788498,1.0
459,682448,1.0
460,683125,1.0
461,1270602,1.0
462,94562,1.0
463,113281,1.0
464,124813,1.0
465,1349066,1.0
466,162025,1.0
467,1357607,1.0
468,3056934,1.0
469,197790,1.0
470,1398748,1.0
471,2179434,1.0
472,1035983,1.0
473,3737733,1.0
474,2265331,1.0
475,1130682,1.0
476,1420856,1.0
477,2931892,1.0
478,882696,1.0
479,1003150,1.0
480,3615049,1.0
481,2183573,1.0
482,307186,1.0
483,1548825,1.0
484,363727,1.0
485,3233009,1.0
486,2455763,1.0
487,2458005,1.0
488,2552834,1.0
489,3481303,1.0
490,1947125,1.0
491,1950647,1.0
492,867070,1.0
493,1401157,1.0
494,3045932,1.0
495,3054238,1.0
496,1366751,1.0
497,178255,1.0
498,3065820,1.0
499,181976,1.0
500,3073516,1.0
501,194821,1.0
502,1401002,1.0
503,211169,1.0
504,1427508,1.0
505,229713,1.0
