dimCustomerMasterId,distance,seasonYear,events_prior,attended_prior,events_last,attended_last,tenure,atp_last,product_current,product_last,Label,Score
20,62.69,2023,1,1,1,1,0,33.0,None,Individual,None,1.0
23,25.94,2022,30,30,17,17,1,53.53,None,Full Season,None,0.67
23,25.94,2023,31,31,1,1,2,0.0,None,None,None,0.99
52,3763.4,2022,17,6,17,6,0,37.58,Full Season,Full Season,Full Season,0.85
52,3763.4,2023,35,11,18,5,1,53.5,None,Full Season,None,0.99
53,38.79,2022,30,26,17,13,1,43.58,Individual,Full Season,Individual,0.93
53,38.79,2023,31,27,1,1,2,0.0,None,Individual,None,1.0
65,32.18,2023,1,0,1,0,0,55.0,None,Individual,None,1.0
68,202.93,2022,30,23,17,10,1,20.59,Individual,Full Season,Individual,0.94
68,202.93,2023,31,24,1,1,2,0.0,None,Individual,None,1.0
104,10.7,2023,1,0,1,0,0,80.0,None,Individual,None,1.0
106,202.93,2022,1,1,1,1,0,0.0,None,None,None,0.9727
106,202.93,2023,1,1,0,0,1,0.0,None,None,None,1.0
107,202.93,2022,1,1,1,1,0,0.0,None,None,None,0.9727
107,202.93,2023,1,1,0,0,1,0.0,None,None,None,1.0
118,1651.75,2023,1,1,1,1,0,58.0,None,Individual,None,1.0
119,70.42,2022,1,0,1,0,0,32.0,None,Individual,None,1.0
119,70.42,2023,1,0,0,0,1,0.0,None,None,None,1.0
124,13.37,2022,1,0,1,0,0,0.0,None,None,None,0.985
124,13.37,2023,1,0,0,0,1,0.0,None,None,None,1.0
150,82.62,2022,1,1,1,1,0,85.0,None,Individual,None,1.0
150,82.62,2023,1,1,0,0,1,0.0,None,None,None,1.0
165,202.93,2022,1,0,1,0,0,60.0,None,Individual,None,0.9523
165,202.93,2023,1,0,0,0,1,0.0,None,None,None,1.0
178,1594.09,2023,1,0,1,0,0,83.0,None,Individual,None,1.0
179,38.2,2023,2,1,2,1,0,39.0,None,Flex Plan,None,1.0
219,1.84,2022,1,0,1,0,0,28.0,None,Individual,None,0.8735
219,1.84,2023,1,0,0,0,1,0.0,None,None,None,1.0
249,1814.91,2023,1,0,1,0,0,23.0,None,Individual,None,1.0
263,2220.56,2023,1,1,1,1,0,38.0,None,Individual,None,1.0
300,26.75,2022,1,0,1,0,0,28.0,None,Individual,None,1.0
300,26.75,2023,1,0,0,0,1,0.0,None,None,None,1.0
321,984.4,2022,1,1,0,0,1,0.0,None,None,None,1.0
321,984.4,2023,1,1,0,0,2,0.0,None,None,None,1.0
338,1001.68,2022,1,1,0,0,1,0.0,None,None,None,1.0
338,1001.68,2023,1,1,0,0,2,0.0,None,None,None,1.0
344,44.7,2022,1,0,1,0,0,30.0,None,Individual,None,1.0
344,44.7,2023,1,0,0,0,1,0.0,None,None,None,1.0
345,202.93,2023,1,0,1,0,0,33.0,None,Individual,None,0.9896
348,19.63,2023,1,0,1,0,0,25.0,None,Individual,None,1.0
357,202.93,2023,1,0,1,0,0,37.0,None,Individual,None,1.0
396,27.58,2023,1,0,1,0,0,25.0,None,Individual,None,1.0
422,12.75,2022,13,13,0,0,1,0.0,None,None,None,0.8547
422,12.75,2023,13,13,0,0,2,0.0,None,None,None,1.0
434,98.42,2023,1,0,1,0,0,34.0,None,Individual,None,0.99
447,19.63,2023,1,0,1,0,0,24.0,None,Individual,None,1.0
451,43.06,2022,30,20,17,7,1,31.76,Individual,Full Season,Individual,0.82
451,43.06,2023,31,21,1,1,2,0.0,None,Individual,None,1.0
466,48.37,2022,30,22,17,9,1,144.12,Full Season,Full Season,Full Season,0.85
466,48.37,2023,48,36,18,14,2,170.24,None,Full Season,None,1.0
472,8.55,2023,1,1,1,1,0,38.0,None,Individual,None,1.0
490,38.2,2022,2,0,2,0,0,46.67,None,Half Season,None,1.0
490,38.2,2023,2,0,0,0,1,0.0,None,None,None,1.0
507,1722.54,2022,1,0,1,0,0,80.0,None,Individual,None,1.0
507,1722.54,2023,1,0,0,0,1,0.0,None,None,None,1.0
520,11.98,2023,2,0,2,0,0,66.0,None,Individual,None,1.0
534,189.87,2022,30,27,17,14,1,53.53,Individual,Full Season,Individual,0.86
534,189.87,2023,31,28,1,1,2,0.0,None,Individual,None,1.0
538,61.49,2022,13,13,0,0,1,0.0,None,None,None,1.0
538,61.49,2023,13,13,0,0,2,0.0,None,None,None,1.0
548,202.93,2023,1,0,1,0,0,152.0,None,Individual,None,1.0
551,8.55,2022,13,13,0,0,1,0.0,None,None,None,1.0
551,8.55,2023,13,13,0,0,2,0.0,None,None,None,1.0
582,1.84,2022,1,0,1,0,0,30.0,None,Individual,None,0.6262
582,1.84,2023,5,0,4,0,1,32.1,None,None,None,0.99
584,202.93,2023,1,0,1,0,0,48.0,None,Individual,None,1.0
585,1714.61,2022,1,1,1,1,0,38.0,None,Individual,None,1.0
585,1714.61,2023,1,1,0,0,1,0.0,None,None,None,1.0
605,202.93,2022,2,1,2,1,0,29.67,None,Individual,None,1.0
605,202.93,2023,2,1,0,0,1,0.0,None,None,None,1.0
627,202.93,2022,1,0,1,0,0,0.0,None,None,None,0.9898
627,202.93,2023,1,0,0,0,1,0.0,None,None,None,1.0
632,47.79,2022,23,21,17,15,1,24.71,Full Season,Full Season,Full Season,0.8
632,47.79,2023,27,25,4,4,2,27.49,None,Full Season,None,0.99
635,202.93,2023,1,0,1,0,0,69.0,None,Individual,None,1.0
636,17.51,2022,30,25,17,12,1,18.42,Individual,Full Season,Individual,0.87
636,17.51,2023,31,26,1,1,2,0.0,None,Individual,None,1.0
637,202.93,2023,1,1,1,1,0,80.0,None,Individual,None,1.0
661,23.14,2022,1,0,1,0,0,33.0,None,Individual,None,1.0
661,23.14,2023,1,0,0,0,1,0.0,None,None,None,1.0
667,49.08,2022,1,1,1,1,0,75.0,None,Individual,None,1.0
667,49.08,2023,1,1,0,0,1,0.0,None,None,None,1.0
668,65.22,2022,2,1,2,1,0,32.5,None,Individual,None,1.0
668,65.22,2023,2,1,0,0,1,0.0,None,None,None,0.9975
672,47.39,2022,13,13,0,0,1,0.0,None,None,None,1.0
672,47.39,2023,13,13,0,0,2,0.0,None,None,None,1.0
674,202.93,2023,1,0,1,0,0,38.0,None,Individual,None,1.0
676,5.68,2023,1,0,1,0,0,80.0,None,Individual,None,1.0
680,1755.0,2023,1,0,1,0,0,65.0,None,None,None,1.0
683,47.39,2022,1,0,1,0,0,90.0,None,Individual,None,0.96
683,47.39,2023,1,0,0,0,1,0.0,None,None,None,1.0
