dimCustomerMasterId,year,productGrouping,totalSpent,recentDate,attendancePercent,renewedBeforeDays,source_tenure,tenure,distToVenue,recency,missed_games_1,missed_games_2,missed_games_over_2,isNextYear_Buyer,Label,Score_0,Score_1
110303,2022,Full Season,2276.3,2022-07-16,0.73,98,730,964,55.5,0,1,1,0,0,0,0.8061,0.1939
110394,2022,Flex Plan,1096.0,2022-07-13,0.91,15,730,901,1707.49,0,0,0,0,0,0,0.9222,0.0778
110475,2022,Full Season,1017.56,2022-07-16,0.67,22,0,128,44.68,0,1,0,0,0,0,0.8518,0.1482
110489,2022,Full Season,6303.6,2022-07-16,0.84,162,1095,1067,7.19,0,1,0,0,0,0,0.8123,0.1877
110523,2022,Full Season,1313.25,2022-07-16,0.73,159,1095,1054,65.22,0,1,0,0,0,0,0.9405,0.0595
110524,2022,Full Season,1926.1,1970-01-01,0.0,162,1095,996,48.12,0,0,0,1,0,0,0.8192,0.1808
110565,2022,Full Season,137.44,1970-01-01,0.0,159,730,794,26.81,0,0,0,1,0,0,0.9609,0.0391
110573,2022,Full Season,2276.3,2022-04-24,0.18,162,1095,1060,8.11,6,0,0,2,0,0,0.798,0.202
110583,2022,Full Season,525.3,2022-05-28,0.27,161,1095,1081,23.26,3,1,0,2,0,0,0.8956,0.1044
110588,2022,Full Season,1050.6,2022-05-14,0.18,161,1095,1069,27.58,5,0,0,2,0,0,0.9421,0.0579
110637,2022,Full Season,1050.6,2022-06-25,0.36,161,1095,1063,7.19,2,0,1,1,0,0,0.8429,0.1571
110678,2022,Full Season,952.0,2022-07-13,0.18,65,365,290,14.32,1,1,0,2,0,0,0.6058,0.3942
110769,2022,Full Season,2276.3,1970-01-01,0.0,162,1095,737,53.53,0,0,0,1,0,0,0.7803,0.2197
110846,2022,Full Season,1838.55,2022-05-28,0.33,110,1095,1063,59.73,3,1,1,1,0,0,0.6285,0.3715
110939,2022,Full Season,5253.0,1970-01-01,0.0,159,1095,991,55.5,0,0,0,1,0,0,0.7637,0.2363
111063,2022,Full Season,700.4,2022-07-13,0.64,162,730,746,11.98,1,1,0,1,0,0,0.7723,0.2277
111078,2022,Full Season,875.5,2022-05-22,0.55,159,730,988,26.81,4,1,0,1,0,0,0.9438,0.0562
111313,2022,Full Season,1138.15,2022-06-25,0.36,101,1095,1073,52.21,2,1,1,1,0,0,0.7629,0.2371
111391,2022,Full Season,1050.6,2022-07-16,0.18,161,1095,745,10.7,0,0,1,1,0,0,0.9458,0.0542
111396,2022,Full Season,1050.6,1970-01-01,0.0,161,730,998,76.98,0,0,0,1,0,0,0.8923,0.1077
111515,2022,Full Season,1050.6,2022-05-22,0.32,161,1095,1054,33.3,4,1,1,1,0,0,0.9482,0.0518
111540,2022,Full Season,7879.5,2022-05-14,0.45,96,1095,1102,56.08,5,1,0,1,0,1,0.4378,0.5622
111581,2022,Full Season,5253.0,2022-05-28,0.55,159,1095,1110,25.94,3,1,0,1,0,1,0.4995,0.5005
111591,2022,Full Season,1926.1,2022-07-13,0.59,162,1095,1052,63.66,1,2,1,0,0,0,0.6972,0.3028
111596,2022,Full Season,1926.1,2022-06-25,0.45,162,1095,1091,1739.06,2,1,2,0,0,0,0.7124,0.2876
111613,2022,Full Season,2276.3,2022-05-14,0.09,123,1095,1108,63.09,5,0,0,2,0,0,0.8161,0.1839
111634,2022,Full Season,2276.3,2022-05-14,0.09,162,1095,1069,24.84,5,0,0,2,0,0,0.8798,0.1202
111653,2022,Full Season,6128.5,2022-07-16,0.68,101,730,614,27.58,0,1,1,0,0,0,0.7011,0.2989
111672,2022,Half Season,2028.0,1970-01-01,0.0,10,1095,1071,41.44,0,0,0,1,0,0,0.8407,0.1593
111738,2022,Full Season,2210.0,2022-07-13,0.27,162,1095,984,27.17,1,1,0,1,0,0,0.87,0.13
111801,2022,Full Season,3414.45,2022-07-13,0.33,162,1095,961,11.04,1,3,2,0,0,0,0.5105,0.4895
111865,2022,Full Season,1017.56,2022-07-13,0.33,22,0,128,38.24,1,2,0,0,0,0,0.6257,0.3743
111993,2022,Full Season,1341.57,2022-04-24,0.28,161,1095,1052,30.51,6,1,0,1,0,0,0.8567,0.1433
112046,2022,Full Season,152.76,1970-01-01,0.0,159,730,843,47.74,0,0,0,1,0,0,0.9285,0.0715
112047,2022,Full Season,3414.45,1970-01-01,0.0,162,1095,956,70.93,0,0,0,1,0,0,0.731,0.269
112070,2022,Full Season,3414.45,2022-07-13,0.15,162,1095,962,76.98,1,1,1,1,0,0,0.6622,0.3378
112086,2022,Full Season,329.88,1970-01-01,0.0,161,730,785,22.58,0,0,0,1,0,0,0.9184,0.0816
112111,2022,Full Season,1575.9,1970-01-01,0.0,162,1095,1095,48.6,0,0,0,1,0,0,0.8705,0.1295
