dimCustomerMasterId,distance,seasonYear,events_prior,attended_prior,events_last,attended_last,tenure,atp_last,product_current,product_last,Label,Score
88953,55.5,2023,30,27,1,0,2,0.0,None,Individual,None,1.0
88957,310.84,2023,1,1,1,1,0,72.0,None,Individual,None,1.0
88960,24.84,2022,1,0,1,0,0,35.0,None,Individual,None,1.0
88960,24.84,2023,1,0,0,0,1,0.0,None,None,None,1.0
88963,59.71,2022,1,0,1,0,0,35.0,None,Individual,None,1.0
88963,59.71,2023,1,0,0,0,1,0.0,None,None,None,1.0
88974,7.08,2022,1,1,1,1,0,0.0,None,None,None,0.99
88974,7.08,2023,1,1,0,0,1,0.0,None,None,None,1.0
88976,38.24,2022,13,13,0,0,1,0.0,None,None,None,0.9636
88976,38.24,2023,13,13,0,0,2,0.0,None,None,None,1.0
88977,296.28,2022,1,0,1,0,0,40.0,None,Individual,None,1.0
88977,296.28,2023,1,0,0,0,1,0.0,None,None,None,1.0
88986,29.7,2022,13,13,0,0,1,0.0,None,None,None,1.0
88986,29.7,2023,13,13,0,0,2,0.0,None,None,None,1.0
88991,12.29,2023,1,1,1,1,0,38.0,None,Individual,None,0.99
88996,194.72,2023,1,0,1,0,0,89.0,None,Individual,None,1.0
88997,194.72,2023,1,0,1,0,0,33.0,None,Individual,None,0.9888
89005,1599.43,2023,1,0,1,0,0,72.0,None,Individual,None,1.0
89006,194.72,2023,1,0,1,0,0,38.0,None,Individual,None,1.0
89008,8.04,2022,6,6,0,0,1,0.0,Full Season,None,Full Season,0.62
89008,8.04,2023,23,22,17,16,2,58.0,None,Full Season,None,0.9
89023,1538.07,2023,1,0,1,0,0,61.0,None,Individual,None,0.99
89029,17.91,2022,30,25,17,12,1,144.12,Full Season,Full Season,Full Season,0.97
89029,17.91,2023,48,41,18,16,2,145.92,None,Full Season,None,1.0
89030,1915.18,2022,30,28,17,15,1,28.61,Full Season,Full Season,Full Season,0.86
89030,1915.18,2023,48,45,18,17,2,34.28,None,Full Season,None,1.0
89042,926.42,2023,1,0,1,0,0,72.0,None,Individual,None,1.0
89045,63.09,2022,1,0,1,0,0,100.0,None,Individual,None,1.0
89045,63.09,2023,1,0,0,0,1,0.0,None,None,None,1.0
89048,318.99,2022,1,0,1,0,0,45.0,None,Individual,None,1.0
89048,318.99,2023,1,0,0,0,1,0.0,None,None,None,1.0
89056,17.84,2022,30,24,17,11,1,57.65,Individual,Full Season,Individual,0.85
89056,17.84,2023,31,25,1,1,2,0.0,None,Individual,None,1.0
89074,8.55,2022,7,7,0,0,1,0.0,None,None,None,1.0
89074,8.55,2023,7,7,0,0,2,0.0,None,None,None,1.0
89078,194.72,2022,1,1,1,1,0,33.0,None,Individual,None,0.9795
89078,194.72,2023,1,1,0,0,1,0.0,None,None,None,1.0
89096,194.72,2023,1,0,1,0,0,60.0,None,Individual,None,0.9329
89097,13.37,2023,1,1,1,1,0,20.0,None,Individual,None,0.97
89110,194.72,2023,1,0,1,0,0,25.0,None,Individual,None,1.0
89115,1965.29,2023,1,1,1,1,0,44.0,None,Individual,None,1.0
89133,52.45,2023,1,1,1,1,0,32.0,None,Individual,None,1.0
89149,56.49,2023,1,1,1,1,0,36.75,None,Individual,None,1.0
89151,38.79,2022,17,17,17,17,0,24.71,Full Season,Full Season,Full Season,0.92
89151,38.79,2023,35,35,18,18,1,38.91,None,Full Season,None,1.0
89152,26.81,2023,1,0,1,0,0,55.0,None,Individual,None,1.0
89161,67.51,2022,13,13,0,0,1,0.0,None,None,None,0.8516
89161,67.51,2023,13,13,0,0,2,0.0,None,None,None,1.0
89177,27.17,2023,1,0,1,0,0,64.0,None,Individual,None,1.0
89182,42.31,2023,1,1,1,1,0,45.0,None,Individual,None,1.0
89191,11.45,2022,1,0,1,0,0,28.0,None,Individual,None,1.0
89191,11.45,2023,1,0,0,0,1,0.0,None,None,None,1.0
89199,49.08,2022,13,13,0,0,1,0.0,None,None,None,1.0
89199,49.08,2023,13,13,0,0,2,0.0,None,None,None,1.0
89207,47.39,2023,1,0,1,0,0,44.0,None,Individual,None,1.0
89210,67.51,2022,17,16,17,16,0,28.82,Full Season,Full Season,Full Season,0.79
89210,67.51,2023,35,34,18,18,1,29.18,None,Full Season,None,1.0
89212,38.79,2022,1,0,1,0,0,40.0,None,Individual,None,1.0
89212,38.79,2023,1,0,0,0,1,0.0,None,None,None,1.0
89213,35.95,2022,1,0,1,0,0,33.75,None,Individual,None,0.99
89213,35.95,2023,1,0,0,0,1,0.0,None,None,None,1.0
89226,27.17,2022,1,1,1,1,0,32.0,None,Individual,None,1.0
89226,27.17,2023,1,1,0,0,1,0.0,None,None,None,1.0
89236,194.72,2023,1,0,1,0,0,80.0,None,Individual,None,1.0
89238,16.19,2022,24,19,17,12,1,23.33,Full Season,Full Season,Full Season,0.9
89238,16.19,2023,30,25,6,6,2,33.5,None,Full Season,None,1.0
89240,56.49,2022,30,28,17,15,1,20.59,Full Season,Full Season,Full Season,0.72
89240,56.49,2023,48,42,18,14,2,23.75,None,Full Season,None,1.0
89242,45.06,2022,1,0,1,0,0,35.0,None,Individual,None,1.0
89242,45.06,2023,1,0,0,0,1,0.0,None,None,None,1.0
89252,60.17,2023,2,0,2,0,0,32.33,None,Individual,None,0.87
89264,41.92,2022,2,1,1,0,1,0.0,None,None,None,0.9583
89264,41.92,2023,2,1,0,0,2,0.0,None,None,None,1.0
89285,21.19,2022,1,0,1,0,0,30.0,Individual,Individual,None,0.7825
89285,21.19,2023,2,0,1,0,1,60.0,None,Individual,None,1.0
89292,62.69,2022,1,0,1,0,0,30.0,None,Individual,None,1.0
89292,62.69,2023,1,0,0,0,1,0.0,None,None,None,1.0
89298,125.04,2022,1,0,1,0,0,35.0,None,Individual,None,1.0
89298,125.04,2023,1,0,0,0,1,0.0,None,None,None,1.0
89303,25.94,2023,1,0,1,0,0,69.0,None,Individual,None,1.0
89320,8.55,2022,1,1,1,1,0,0.0,None,None,None,1.0
89320,8.55,2023,1,1,0,0,1,0.0,None,None,None,1.0
89321,67.51,2022,1,0,1,0,0,70.0,None,Individual,None,0.94
89321,67.51,2023,1,0,0,0,1,0.0,None,None,None,1.0
